Date,Close/Last,Volume,Open,High,Low
09/05/2023,110.07,2863090,110.085,110.09,110.07
09/01/2023,110.07,4625953,110.07,110.07,110.06
08/31/2023,110.50,2688057,110.49,110.51,110.49
08/30/2023,110.44,1821500,110.44,110.45,110.43
08/29/2023,110.43,2058289,110.42,110.43,110.41
08/28/2023,110.40,1200736,110.40,110.41,110.40
08/25/2023,110.39,1789198,110.40,110.40,110.38
08/24/2023,110.39,1804702,110.37,110.39,110.37
08/23/2023,110.34,3148869,110.33,110.34,110.33
08/22/2023,110.32,1374198,110.32,110.32,110.31
08/21/2023,110.30,2102867,110.31,110.31,110.30
08/18/2023,110.29,1919467,110.30,110.30,110.28
08/17/2023,110.28,2526712,110.275,110.28,110.27
08/16/2023,110.23,2351503,110.22,110.23,110.22
08/15/2023,110.22,1889511,110.22,110.22,110.20
08/14/2023,110.20,1544109,110.19,110.20,110.19
08/11/2023,110.175,1362817,110.18,110.18,110.17
08/10/2023,110.16,1625602,110.17,110.17,110.16
08/09/2023,110.11,2524823,110.13,110.13,110.11
08/08/2023,110.10,1641436,110.11,110.11,110.09
08/07/2023,110.08,1724631,110.09,110.09,110.08
08/04/2023,110.08,2448132,110.08,110.08,110.07
08/03/2023,110.05,3000778,110.05,110.06,110.04
08/02/2023,110.005,2793317,110.00,110.01,109.99
08/01/2023,109.99,3043868,109.99,109.99,109.98
07/31/2023,110.44,2373436,110.43,110.44,110.43
07/28/2023,110.42,1573494,110.42,110.42,110.41
07/27/2023,110.39,2167467,110.41,110.41,110.39
07/26/2023,110.35,1419374,110.35,110.36,110.34
07/25/2023,110.33,1580265,110.335,110.34,110.33
07/24/2023,110.32,2149421,110.33,110.33,110.32
07/21/2023,110.31,1898998,110.31,110.32,110.31
07/20/2023,110.30,1943248,110.29,110.30,110.29
07/19/2023,110.25,2542623,110.26,110.26,110.25
07/18/2023,110.23,4510802,110.24,110.25,110.23
07/17/2023,110.22,2055614,110.23,110.23,110.22
07/14/2023,110.21,5843920,110.21,110.22,110.20
07/13/2023,110.20,2261979,110.20,110.21,110.19
07/12/2023,110.14,3731381,110.145,110.15,110.14
07/11/2023,110.11,2289615,110.12,110.13,110.11
07/10/2023,110.11,4576996,110.11,110.12,110.10
07/07/2023,110.09,2538062,110.11,110.11,110.09
07/06/2023,110.09,2023109,110.07,110.09,110.07
07/05/2023,110.03,4009341,110.03,110.04,110.03
07/03/2023,110.01,3982760,110.01,110.02,110.01
